country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2025-05-19 10:00:00,28.5504249,77.2159377,OZONE,25.0,133.0,28.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.710508,77.249485,SO2,6.0,21.0,14.0
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.710508,77.249485,OZONE,16.0,314.0,101.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",2025-05-19 10:00:00,28.531346,77.190156,CO,29.0,74.0,44.0
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.672342,77.31526,CO,18.0,48.0,32.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-05-19 10:00:00,28.699793,77.165453,NO2,38.0,124.0,59.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2025-05-19 10:00:00,28.639652,77.146275,SO2,8.0,27.0,17.0
India,Delhi,Delhi,"Pusa, Delhi - IMD",2025-05-19 10:00:00,28.63611,77.173332,OZONE,17.0,27.0,20.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-05-19 10:00:00,28.563262,77.186937,CO,16.0,66.0,33.0
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-05-19 10:00:00,28.563262,77.186937,OZONE,11.0,124.0,19.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2025-05-19 10:00:00,28.732528,77.11992,PM2.5,77.0,270.0,127.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2025-05-19 10:00:00,28.6514781,77.1473105,NO2,76.0,113.0,94.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2025-05-19 10:00:00,28.6573814,77.1585447,CO,48.0,58.0,53.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",2025-05-19 10:00:00,28.6573814,77.1585447,OZONE,10.0,17.0,14.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2025-05-19 10:00:00,28.623763,77.287209,PM10,159.0,334.0,204.0
